model_id,model,P_vector,model_average_fidelity,model_average_fidelity_gauge
20260213_142026_random_1,"[[[(0.8962944811810123+0j), (-0.1298243498653582+0.20940564859757815j)], [(-0.1298243498653582-0.20940564859757815j), (0.10370551881898782+0j)]], [[(0.15667547240860424-0.10751890129260326j), (-0.44037535727964655+0.8774748012969918j)], [(-0.3397177877749453-0.9211320789548421j), (-0.1437002829978018-0.12432918585746267j)]], [[(0.5350919731340085+0j), (-0.060139601338761034+0.495128045834991j)], [(-0.060139601338761034-0.495128045834991j), (0.46490802686599153+0j)]]]","[0.249206, 0.710757, 0.312904]",0.563524,0.64542
20260213_142026_random_2,"[[[(0.13532824413559222+0j), (0.020444776130823118+0.07348493381556655j)], [(0.020444776130823118-0.07348493381556655j), (0.8646717558644079+0j)]], [[(-0.7323129630237797+0.6282853428668543j), (-0.1757073888504781-0.19519776030825423j)], [(0.020492963254873577-0.26183065248944054j), (-0.9634741026399813-0.052367942637369116j)]], [[(0.7516823277197444+0j), (0.025697025821344487+0.43127215163688504j)], [(0.025697025821344487-0.43127215163688504j), (0.24831767228025567+0j)]]]","[0.619128, 0.499091, 0.80515]",0.756117,0.756117
20260213_142026_random_3,"[[[(0.07793121312969183+0j), (-0.01834141387452495+0.027934878732497153j)], [(-0.01834141387452495-0.027934878732497153j), (0.9220687868703082+0j)]], [[(0.4624459804993619-0.7320561848733221j), (-0.16588796059792127+0.47193075957958375j)], [(0.5001697132158252+0.008228930082318453j), (0.8470564988076702-0.17960465060513175j)]], [[(0.7636507892298718+0j), (-0.15183820564543088+0.3967788056900741j)], [(-0.15183820564543088-0.3967788056900741j), (0.23634921077012822+0j)]]]","[0.69482, 0.847379, 0.812435]",0.754549,0.754549
20260213_142026_random_4,"[[[(0.351216626572422+0j), (-0.04493781730562154+0.3875801922672528j)], [(-0.04493781730562154-0.3875801922672528j), (0.6487833734275781+0j)]], [[(0.9157283339808031+0.2399736773737469j), (0.29644543626669767+0.1263896982713006j)], [(-0.23389294228548146-0.221694258070667j), (0.584472497206359+0.7446728459510924j)]], [[(0.7845349037170842+0j), (-0.40555667302502707+0.06755496674250423j)], [(-0.40555667302502707-0.06755496674250423j), (0.21546509628291577+0j)]]]","[0.495853, 0.245422, 0.210308]",0.812931,0.812931
20260213_142026_random_5,"[[[(0.15441040533473205+0j), (0.1662634432395362-0.2672216393837053j)], [(0.1662634432395362+0.2672216393837053j), (0.8455895946652681+0j)]], [[(-0.10401920163760692+0.4733607313073118j), (0.8496558211519072-0.20783312856606923j)], [(0.7035836537059464+0.5196918952462819j), (-0.08675893768306013+0.4768262398245559j)]], [[(0.19508764113736088+0j), (0.3838837135238027+0.0982941905912864j)], [(0.3838837135238027-0.0982941905912864j), (0.804912358862639+0j)]]]","[0.214132, 0.860875, 0.626538]",0.521932,0.653098
20260213_142026_random_6,"[[[(0.49314991546074566+0j), (-0.09942734357360411+0.34309967383350437j)], [(-0.09942734357360411-0.34309967383350437j), (0.5068500845392543+0j)]], [[(-0.5655533627870106+0.001415127010865041j), (-0.21415603571152694+0.7964198538611217j)], [(-0.3962619060663752-0.7232730418427682j), (0.549875625617259-0.13224751451797076j)]], [[(0.9250684721584418+0j), (0.15896719889590133-0.209871922019309j)], [(0.15896719889590133+0.209871922019309j), (0.07493152784155818+0j)]]]","[0.681449, 0.312425, 0.69922]",0.560504,0.69047
20260213_142026_random_7,"[[[(0.3150525347438005+0j), (-0.03304790221426029-0.3387115554753472j)], [(-0.03304790221426029+0.3387115554753472j), (0.6849474652561994+0j)]], [[(0.5553838211834312-0.37061573628139943j), (0.3035491245365238-0.6797431251446364j)], [(0.4514151115989838-0.5919604583148808j), (-0.05944526939579009+0.6650364446841808j)]], [[(0.34639540800338964+0j), (-0.25965880864307084-0.39872663870328j)], [(-0.25965880864307084+0.39872663870328j), (0.6536045919966103+0j)]]]","[0.155913, 0.545143, 0.737828]",0.717544,0.717544
20260213_142026_random_8,"[[[(0.34916022941665015+0j), (0.009833939863150816+0.2368765213618316j)], [(0.009833939863150816-0.2368765213618316j), (0.6508397705833499+0j)]], [[(0.5583183450237503-0.41760028634881674j), (0.002851469261309636-0.7168559796600562j)], [(-0.7016259680282088+0.14700893659844722j), (0.29674085293738645-0.6309153982481848j)]], [[(0.4792381642370971+0j), (0.48142769061732454-0.13340286684559635j)], [(0.48142769061732454+0.13340286684559635j), (0.5207618357629029+0j)]]]","[0.547468, 0.705348, 0.510687]",0.423189,0.712167
20260213_142026_random_9,"[[[(0.3549146288866425+0j), (-0.423344474624845+0.046518074369776015j)], [(-0.423344474624845-0.046518074369776015j), (0.6450853711133576+0j)]], [[(-0.25825167623904055+0.5389778902904909j), (-0.4814312334335572+0.6411184547120613j)], [(0.34447948346743285-0.7239770652221991j), (-0.3575759850996858+0.47888465143732917j)]], [[(0.6607044298553285+0j), (-0.46775512690579457-0.0733432169884701j)], [(-0.46775512690579457+0.0733432169884701j), (0.3392955701446715+0j)]]]","[0.157412, 0.367257, 0.630806]",0.578676,0.59612
20260213_142110_random_0,"[[[(0.6621008666444708+0j), (0.3977129328435624+0.1647344202667377j)], [(0.3977129328435624-0.1647344202667377j), (0.3378991333555292+0j)]], [[(-0.8433436059881818-0.11866548736940051j), (0.5141733024448515-0.10156711770641044j)], [(0.5198546432793483-0.06664243548321372j), (0.7622474757486596-0.37985355252855557j)]], [[(0.33426588755533987+0j), (-0.07371950319685684-0.46593737650095146j)], [(-0.07371950319685684+0.46593737650095146j), (0.6657341124446601+0j)]]]","[0.765882, 0.077863, 0.65944]",0.805652,0.805652
20260213_142110_random_1,"[[[(0.6808917433263926+0j), (0.2561733490377119-0.2949957791265407j)], [(0.2561733490377119+0.2949957791265407j), (0.31910825667360737+0j)]], [[(-0.7218599396234994+0.21543462272393143j), (0.17243236127021958-0.6346441772247909j)], [(0.3104393500639854+0.5797702655624947j), (0.7517931649779748+0.047967553552837446j)]], [[(0.40221279293822093+0j), (0.17961402049488392-0.4562635924295519j)], [(0.17961402049488392+0.4562635924295519j), (0.5977872070617791+0j)]]]","[0.174161, 0.833072, 0.22761]",0.630859,0.630859
20260213_142110_random_2,"[[[(0.24050856837179205+0j), (0.3273072061201224+0.0038663543800075795j)], [(0.3273072061201224-0.0038663543800075795j), (0.759491431628208+0j)]], [[(0.5628935304946077+0.7524826550316492j), (-0.33674207860627664-0.05937591851719537j)], [(-0.2358839243104265-0.2475469681812916j), (-0.9382758307965023-0.05213193013208687j)]], [[(0.48300400749846834+0j), (-0.20350099791150442+0.4563972831732346j)], [(-0.20350099791150442-0.4563972831732346j), (0.5169959925015316+0j)]]]","[0.620865, 0.63289, 0.561709]",0.86719,0.86719
20260213_142110_random_3,"[[[(0.13449917385083915+0j), (0.24724279318778933-0.15991591744666345j)], [(0.24724279318778933+0.15991591744666345j), (0.865500826149161+0j)]], [[(-0.13540472244185156-0.7018771679420892j), (-0.32359611721233345+0.6199351217564135j)], [(-0.6547527244454734+0.2456275067928419j), (-0.6801419539614637-0.21993844638772156j)]], [[(0.5991682922310737+0j), (-0.4341426709271394+0.22734509252724572j)], [(-0.4341426709271394-0.22734509252724572j), (0.40083170776892635+0j)]]]","[0.859882, 0.07301, 0.911972]",0.728466,0.761899
20260213_142110_random_4,"[[[(0.38836601557771633+0j), (0.31796822953248993-0.07705804392980309j)], [(0.31796822953248993+0.07705804392980309j), (0.6116339844222837+0j)]], [[(-0.3218629850106167-0.8693206106616918j), (-0.22896052241155262-0.29709085131634017j)], [(0.31641233975794075+0.20141778970027518j), (-0.8946648776360844-0.24267027416964676j)]], [[(0.017854938431409676+0j), (0.11746824840174605-0.061133871318982666j)], [(0.11746824840174605+0.061133871318982666j), (0.9821450615685904+0j)]]]","[0.308228, 0.226159, 0.291055]",0.636488,0.636488
20260213_142110_random_5,"[[[(0.7744063256622683+0j), (-0.302331811979616+0.03789633954765817j)], [(-0.302331811979616-0.03789633954765817j), (0.22559367433773164+0j)]], [[(-0.42658984305459224-0.6204626570540479j), (0.4171363875198781+0.508964076542692j)], [(-0.6120073372727729-0.241855775470381j), (-0.7210695854652394-0.21682125336990965j)]], [[(0.03308288535488495+0j), (-0.16364219574655428-0.0721778347051705j)], [(-0.16364219574655428+0.0721778347051705j), (0.9669171146451152+0j)]]]","[0.662772, 0.500832, 0.65117]",0.554419,0.603062
20260213_142110_random_6,"[[[(0.13287616004521133+0j), (0.1843960761176967+0.08389548548749469j)], [(0.1843960761176967-0.08389548548749469j), (0.8671238399547887+0j)]], [[(0.831291026860838+0.21465189212831j), (0.4985639887588126+0.11964005591478366j)], [(0.39819777390020855+0.32298347748345924j), (-0.6759830153093488-0.5293081986394037j)]], [[(0.41736555773542366+0j), (-0.2808593499943775+0.4053265035404891j)], [(-0.2808593499943775-0.4053265035404891j), (0.5826344422645763+0j)]]]","[0.474894, 0.362984, 0.676813]",0.730561,0.730561
20260213_142110_random_7,"[[[(0.5307099130700734+0j), (-0.05287778171188947-0.47950846346374865j)], [(-0.05287778171188947+0.47950846346374865j), (0.4692900869299267+0j)]], [[(0.049294285168478+0.7085307367867846j), (0.70016655497475-0.07294562202692695j)], [(0.6817912404331062+0.17525687703137738j), (-0.15309510068661347+0.6935471300983449j)]], [[(0.3928200416330214+0j), (0.09873638096311868+0.47829236205354425j)], [(0.09873638096311868-0.47829236205354425j), (0.6071799583669787+0j)]]]","[0.975715, 0.977017, 0.978878]",0.617054,0.784354
20260213_142110_random_8,"[[[(0.29794256928230906+0j), (0.024817999197305363-0.43084036773016116j)], [(0.024817999197305363+0.43084036773016116j), (0.702057430717691+0j)]], [[(-0.7118431305753329-0.318279184496508j), (0.48152543370192874+0.40013869453867684j)], [(0.6260350995430262+0.0076008097661115215j), (0.7482964460970369+0.21925945952135617j)]], [[(0.18332962972809366+0j), (0.11043328294484973-0.37084277882935307j)], [(0.11043328294484973+0.37084277882935307j), (0.8166703702719063+0j)]]]","[0.046999, 0.94236, 0.086224]",0.637322,0.637322
20260213_142110_random_9,"[[[(0.557061733431719+0j), (-0.09275196069234723+0.419780983732778j)], [(-0.09275196069234723-0.419780983732778j), (0.442938266568281+0j)]], [[(-0.6434590486331913+0.6386126922088697j), (0.2537651106062069+0.3372499825364377j)], [(-0.27096399985562236+0.32359356122155797j), (-0.6093698304845909-0.6712183904016431j)]], [[(0.3169439966077322+0j), (-0.09668349936213219+0.4551294327695613j)], [(-0.09668349936213219-0.4551294327695613j), (0.6830560033922678+0j)]]]","[0.120846, 0.300772, 0.164736]",0.763862,0.763862
20260213_143415_perturbed_0,"[[[(0.7350621658824833+0j), (0.4413000998987378+0j)], [(0.4413000998987378+0j), (0.26493783411751676+0j)]], [[(0.7985236763916979+0.17908954165076002j), (-0.46710165320421215+0.3348177412968144j)], [(-0.5700122475967798+0.07330014940554948j), (-0.46232923425617717+0.6752516603747736j)]], [[(0.7350621658824833+0j), (0.4413000998987378+0j)], [(0.4413000998987378+0j), (0.26493783411751676+0j)]]]","[0.0, 0.360032, 0.856802]",0.658797,0.658797
20260213_143415_perturbed_1,"[[[(0.7350621658824833+0j), (0.4413000998987378+0j)], [(0.4413000998987378+0j), (0.26493783411751676+0j)]], [[(0.7985236763916979+0.17908954165076002j), (-0.46710165320421215+0.3348177412968144j)], [(-0.5700122475967798+0.07330014940554948j), (-0.46232923425617717+0.6752516603747736j)]], [[(0.5+0j), (0.4975482521879447-0.04945439055049937j)], [(0.4975482521879447+0.04945439055049937j), (0.5+0j)]]]","[0.060864, 0.42762, 0.725172]",0.594542,0.594542
20260213_143415_perturbed_2,"[[[(0.7350621658824833+0j), (0.4413000998987378+0j)], [(0.4413000998987378+0j), (0.26493783411751676+0j)]], [[(0.7985236763916979+0.17908954165076002j), (-0.46710165320421215+0.3348177412968144j)], [(-0.5700122475967798+0.07330014940554948j), (-0.46232923425617717+0.6752516603747736j)]], [[(0.5+0j), (-0.017894239924744707-0.38617962128111005j)], [(-0.017894239924744707+0.38617962128111005j), (0.5+0j)]]]","[0.616339, 0.063581, 0.336792]",0.793379,0.793379
20260213_143415_perturbed_3,"[[[(0.7350621658824833+0j), (0.4413000998987378+0j)], [(0.4413000998987378+0j), (0.26493783411751676+0j)]], [[(0.7985236763916979+0.17908954165076002j), (-0.46710165320421215+0.3348177412968144j)], [(-0.5700122475967798+0.07330014940554948j), (-0.46232923425617717+0.6752516603747736j)]], [[(0.5+0j), (-0.25129988330819936-0.3263740578886814j)], [(-0.25129988330819936+0.3263740578886814j), (0.5+0j)]]]","[0.802126, 0.149689, 0.235067]",0.85108,0.85108
20260213_143415_perturbed_4,"[[[(0.7350621658824833+0j), (0.4413000998987378+0j)], [(0.4413000998987378+0j), (0.26493783411751676+0j)]], [[(0.7985236763916979+0.17908954165076002j), (-0.46710165320421215+0.3348177412968144j)], [(-0.5700122475967798+0.07330014940554948j), (-0.46232923425617717+0.6752516603747736j)]], [[(0.5+0j), (0.19219697996393978+0.46158457609926795j)], [(0.19219697996393978-0.46158457609926795j), (0.5+0j)]]]","[0.330367, 0.89142, 0.903743]",0.762971,0.762971
20260213_143415_perturbed_5,"[[[(0.7350621658824833+0j), (0.4413000998987378+0j)], [(0.4413000998987378+0j), (0.26493783411751676+0j)]], [[(0.7985236763916979+0.17908954165076002j), (-0.46710165320421215+0.3348177412968144j)], [(-0.5700122475967798+0.07330014940554948j), (-0.46232923425617717+0.6752516603747736j)]], [[(0.5760003103069374+0j), (0.42399968969306256+0j)], [(0.42399968969306256+0j), (0.42399968969306256+0j)]]]","[0.154496, 0.373769, 0.82555]",0.613864,0.613864
20260213_143415_perturbed_6,"[[[(0.7350621658824833+0j), (0.4413000998987378+0j)], [(0.4413000998987378+0j), (0.26493783411751676+0j)]], [[(0.7985236763916979+0.17908954165076002j), (-0.46710165320421215+0.3348177412968144j)], [(-0.5700122475967798+0.07330014940554948j), (-0.46232923425617717+0.6752516603747736j)]], [[(0.5+0j), (0.24162300040047102-0.43774230510366924j)], [(0.24162300040047102+0.43774230510366924j), (0.5+0j)]]]","[0.286743, 0.103892, 0.336714]",0.747473,0.747473
20260213_143415_perturbed_7,"[[[(0.7350621658824833+0j), (0.4413000998987378+0j)], [(0.4413000998987378+0j), (0.26493783411751676+0j)]], [[(0.7985236763916979+0.17908954165076002j), (-0.46710165320421215+0.3348177412968144j)], [(-0.5700122475967798+0.07330014940554948j), (-0.46232923425617717+0.6752516603747736j)]], [[(0.5+0j), (-0.1257878316178867-0.4839188169692002j)], [(-0.1257878316178867+0.4839188169692002j), (0.5+0j)]]]","[0.61102, 0.085192, 0.115943]",0.841726,0.841726
20260213_143415_perturbed_8,"[[[(0.7350621658824833+0j), (0.4413000998987378+0j)], [(0.4413000998987378+0j), (0.26493783411751676+0j)]], [[(0.7985236763916979+0.17908954165076002j), (-0.46710165320421215+0.3348177412968144j)], [(-0.5700122475967798+0.07330014940554948j), (-0.46232923425617717+0.6752516603747736j)]], [[(0.4808663550850083+0j), (0.4808663550850083+0j)], [(0.4808663550850083+0j), (0.5191336449149917+0j)]]]","[0.102984, 0.462628, 0.757086]",0.587057,0.591119
20260213_143415_perturbed_9,"[[[(0.7350621658824833+0j), (0.4413000998987378+0j)], [(0.4413000998987378+0j), (0.26493783411751676+0j)]], [[(0.7985236763916979+0.17908954165076002j), (-0.46710165320421215+0.3348177412968144j)], [(-0.5700122475967798+0.07330014940554948j), (-0.46232923425617717+0.6752516603747736j)]], [[(0.5+0j), (0.48365284596713287-0.12680664252275156j)], [(0.48365284596713287+0.12680664252275156j), (0.5+0j)]]]","[0.073128, 0.36095, 0.667]",0.620656,0.620656
20260213_143415_perturbed_10,"[[[(0.7350621658824833+0j), (0.4413000998987378+0j)], [(0.4413000998987378+0j), (0.26493783411751676+0j)]], [[(-0.01410222926840003-0.6833489380423342j), (0.7299180723356081+0.00741374965487504j)], [(-0.7291311606837871-0.03468582600989477j), (-0.05348082123239851+0.6813988888707061j)]], [[(0.7350621658824833+0j), (0.4413000998987378+0j)], [(0.4413000998987378+0j), (0.26493783411751676+0j)]]]","[0.0, 0.995941, 0.016163]",0.562052,0.57857
20260213_143415_perturbed_11,"[[[(0.7350621658824833+0j), (0.4413000998987378+0j)], [(0.4413000998987378+0j), (0.26493783411751676+0j)]], [[(-0.01410222926840003-0.6833489380423342j), (0.7299180723356081+0.00741374965487504j)], [(-0.7291311606837871-0.03468582600989477j), (-0.05348082123239851+0.6813988888707061j)]], [[(0.5+0j), (0.4975482521879447-0.04945439055049937j)], [(0.4975482521879447+0.04945439055049937j), (0.5+0j)]]]","[0.060864, 0.915982, 0.114947]",0.497797,0.577054
20260213_143415_perturbed_12,"[[[(0.7350621658824833+0j), (0.4413000998987378+0j)], [(0.4413000998987378+0j), (0.26493783411751676+0j)]], [[(-0.01410222926840003-0.6833489380423342j), (0.7299180723356081+0.00741374965487504j)], [(-0.7291311606837871-0.03468582600989477j), (-0.05348082123239851+0.6813988888707061j)]], [[(0.5+0j), (-0.017894239924744707-0.38617962128111005j)], [(-0.017894239924744707+0.38617962128111005j), (0.5+0j)]]]","[0.616339, 0.414833, 0.555995]",0.696634,0.696634
20260213_143415_perturbed_13,"[[[(0.7350621658824833+0j), (0.4413000998987378+0j)], [(0.4413000998987378+0j), (0.26493783411751676+0j)]], [[(-0.01410222926840003-0.6833489380423342j), (0.7299180723356081+0.00741374965487504j)], [(-0.7291311606837871-0.03468582600989477j), (-0.05348082123239851+0.6813988888707061j)]], [[(0.5+0j), (-0.25129988330819936-0.3263740578886814j)], [(-0.25129988330819936+0.3263740578886814j), (0.5+0j)]]]","[0.802126, 0.237045, 0.721921]",0.754335,0.754335
20260213_143415_perturbed_14,"[[[(0.7350621658824833+0j), (0.4413000998987378+0j)], [(0.4413000998987378+0j), (0.26493783411751676+0j)]], [[(-0.01410222926840003-0.6833489380423342j), (0.7299180723356081+0.00741374965487504j)], [(-0.7291311606837871-0.03468582600989477j), (-0.05348082123239851+0.6813988888707061j)]], [[(0.5+0j), (0.19219697996393978+0.46158457609926795j)], [(0.19219697996393978-0.46158457609926795j), (0.5+0j)]]]","[0.330367, 0.623099, 0.423616]",0.666225,0.685536
20260213_143415_perturbed_15,"[[[(0.7350621658824833+0j), (0.4413000998987378+0j)], [(0.4413000998987378+0j), (0.26493783411751676+0j)]], [[(-0.01410222926840003-0.6833489380423342j), (0.7299180723356081+0.00741374965487504j)], [(-0.7291311606837871-0.03468582600989477j), (-0.05348082123239851+0.6813988888707061j)]], [[(0.5760003103069374+0j), (0.42399968969306256+0j)], [(0.42399968969306256+0j), (0.42399968969306256+0j)]]]","[0.154496, 0.828913, 0.194511]",0.517119,0.579488
20260213_143415_perturbed_16,"[[[(0.7350621658824833+0j), (0.4413000998987378+0j)], [(0.4413000998987378+0j), (0.26493783411751676+0j)]], [[(-0.01410222926840003-0.6833489380423342j), (0.7299180723356081+0.00741374965487504j)], [(-0.7291311606837871-0.03468582600989477j), (-0.05348082123239851+0.6813988888707061j)]], [[(0.5+0j), (0.24162300040047102-0.43774230510366924j)], [(0.24162300040047102+0.43774230510366924j), (0.5+0j)]]]","[0.286743, 0.734366, 0.25073]",0.650728,0.675383
20260213_143415_perturbed_17,"[[[(0.7350621658824833+0j), (0.4413000998987378+0j)], [(0.4413000998987378+0j), (0.26493783411751676+0j)]], [[(-0.01410222926840003-0.6833489380423342j), (0.7299180723356081+0.00741374965487504j)], [(-0.7291311606837871-0.03468582600989477j), (-0.05348082123239851+0.6813988888707061j)]], [[(0.5+0j), (-0.1257878316178867-0.4839188169692002j)], [(-0.1257878316178867+0.4839188169692002j), (0.5+0j)]]]","[0.61102, 0.433654, 0.522622]",0.744981,0.744981
20260213_143415_perturbed_18,"[[[(0.7350621658824833+0j), (0.4413000998987378+0j)], [(0.4413000998987378+0j), (0.26493783411751676+0j)]], [[(-0.01410222926840003-0.6833489380423342j), (0.7299180723356081+0.00741374965487504j)], [(-0.7291311606837871-0.03468582600989477j), (-0.05348082123239851+0.6813988888707061j)]], [[(0.4808663550850083+0j), (0.4808663550850083+0j)], [(0.4808663550850083+0j), (0.5191336449149917+0j)]]]","[0.102984, 0.869281, 0.165575]",0.490312,0.576505
20260213_143415_perturbed_19,"[[[(0.7350621658824833+0j), (0.4413000998987378+0j)], [(0.4413000998987378+0j), (0.26493783411751676+0j)]], [[(-0.01410222926840003-0.6833489380423342j), (0.7299180723356081+0.00741374965487504j)], [(-0.7291311606837871-0.03468582600989477j), (-0.05348082123239851+0.6813988888707061j)]], [[(0.5+0j), (0.48365284596713287-0.12680664252275156j)], [(0.48365284596713287+0.12680664252275156j), (0.5+0j)]]]","[0.073128, 0.910522, 0.113849]",0.523911,0.58263
20260213_143415_perturbed_20,"[[[(0.7350621658824833+0j), (0.4413000998987378+0j)], [(0.4413000998987378+0j), (0.26493783411751676+0j)]], [[(0.9431142065384853-0.050306042353426325j), (0.31541583242518406+0.09229164742026569j)], [(-0.07030738776941692-0.32103234533775443j), (-0.11526279224468144+0.9373951105035386j)]], [[(0.7350621658824833+0j), (0.4413000998987378+0j)], [(0.4413000998987378+0j), (0.26493783411751676+0j)]]]","[0.0, 0.420583, 0.16137]",0.71197,0.71197
20260213_143415_perturbed_21,"[[[(0.7350621658824833+0j), (0.4413000998987378+0j)], [(0.4413000998987378+0j), (0.26493783411751676+0j)]], [[(0.9431142065384853-0.050306042353426325j), (0.31541583242518406+0.09229164742026569j)], [(-0.07030738776941692-0.32103234533775443j), (-0.11526279224468144+0.9373951105035386j)]], [[(0.5+0j), (0.4975482521879447-0.04945439055049937j)], [(0.4975482521879447+0.04945439055049937j), (0.5+0j)]]]","[0.060864, 0.246427, 0.302994]",0.647715,0.647715
